"DENPASAR","Freq"
"Surface water sports",4
"Surfing",4
"Talent show",4
"Thumb",4
"Transparent material",4
"Underwater diving",4
"Vegetable",4
"Vision care",4
"water lily",4
"Whiskers",4
"Whole food",4
"Wind",4
"Abdomen",5
"Automotive tire",5
"Automotive wheel system",5
"Bed",5
"Cat",5
"Clothing",5
"Competition event",5
"Courtyard",5
"Cycling",5
"Dinner",5
"Door",5
"Entertainment",5
"Eye",5
"Felidae",5
"Flesh",5
"Glass",5
"Hair accessory",5
"Helmet",5
"Hill station",5
"Juice",5
"Love",5
"Metropolitan area",5
"Mountain",5
"Mythology",5
"Nonbuilding structure",5
"Orange",5
"Parking",5
"Playground",5
"Primate",5
"Puppy",5
"Rim",5
"Rural area",5
"Salad",5
"Shade",5
"Shopkeeper",5
"Small to medium-sized cats",5
"Sports",5
"Sports equipment",5
"Sportswear",5
"Steamed rice",5
"Urban area",5
"Walkway",5
"Wilderness",5
"Wing",5
"À la carte food",6
"Air travel",6
"Bank",6
"Bouquet",6
"Cartoon",6
"City car",6
"Collage",6
"Column",6
"Commercial building",6
"Condominium",6
"Darkness",6
"Ear",6
"Eco hotel",6
"Elaeis",6
"Electronic device",6
"Formal wear",6
"Fruit",6
"Geological phenomenon",6
"Hardwood",6
"Headpiece",6
"Hibiscus",6
"Iron",6
"Joint",6
"Kung fu",6
"Leisure centre",6
"Line",6
"Living room",6
"Magenta",6
"Mixed-use",6
"Music",6
"Musical instrument",6
"Outdoor furniture",6
"Panorama",6
"Pedestrian",6
"Pond",6
"Ritual",6
"Spring",6
"Swimming",6
"Tableware",6
"Tail",6
"Toy",6
"Vegan nutrition",6
"Village",6
"Wheel",6
"Yard",6
"Bicycle wheel",7
"Chair",7
"Chest",7
"Cup",7
"Cut flowers",7
"Family car",7
"Flower Arranging",7
"Fried food",7
"Hotel",7
"Jeans",7
"Land lot",7
"Music venue",7
"Pattern",7
"Plant stem",7
"Shoulder",7
"Stage",7
"Stall",7
"Standing",7
"Sunlight",7
"Tire",7
"Watercourse",7
"Wildlife",7
"Wind wave",7
"Backyard",8
"Bicycle part",8
"Boating",8
"Dress",8
"Fawn",8
"Festival",8
"Fish",8
"Floral design",8
"Grass family",8
"Junk food",8
"Local food",8
"Natural foods",8
"Shoe",8
"Sketch",8
"Snout",8
"Style",8
"Trunk",8
"Underwater",8
"Window",8
"Beak",9
"Branch",9
"Drawing",9
"Estate",9
"Graphic design",9
"Hat",9
"Mouth",9
"Nature reserve",9
"Neck",9
"Sporting Group",9
"Staple food",9
"Sun",9
"Sunglasses",9
"Visual arts",9
"Watercraft",9
"Arch",10
"Auto part",10
"Carving",10
"Ceremony",10
"Daytime",10
"Dessert",10
"Human settlement",10
"Japanese architecture",10
"Lawn",10
"People on beach",10
"Personal protective equipment",10
"Soil",10
"Spoke",10
"Terrestrial plant",10
"Wave",10
"World",10
"Bicycle",11
"Gesture",11
"Hawker",11
"Jungle",11
"Memorial",11
"National historic landmark",11
"Photo caption",11
"Technology",11
"Tourist attraction",11
"Traffic",11
"Vegetation",11
"Breakfast",12
"Chinese architecture",12
"desert rose",12
"Family",12
"Folk dance",12
"Houseplant",12
"Lane",12
"Monochrome photography",12
"Performance art",12
"Poster",12
"Roof",12
"Tropics",12
"Advertising",13
"Atmospheric phenomenon",13
"Baby",13
"Bazaar",13
"Bird",13
"Dusk",13
"Facade",13
"Footwear",13
"Hindu temple",13
"Meat",13
"Muscle",13
"Natural environment",13
"Red",13
"River",13
"Umbrella",13
"White",13
"Wildflower",13
"Woody plant",13
"Arm",14
"Atmosphere",14
"Black",14
"Black hair",14
"Companion dog",14
"Facial expression",14
"Fictional character",14
"Flooring",14
"Mammal",14
"Material property",14
"Motorcycle",14
"Restaurant",14
"Waterway",14
"Asphalt",15
"Fashion",15
"Floristry",15
"Garden",15
"Stock photography",15
"Turquoise",15
"Vertebrate",15
"Coastal and oceanic landforms",16
"Design",16
"Finger",16
"Green",16
"Human",16
"Land vehicle",16
"Residential area",16
"Street food",16
"Water resources",16
"Cheek",17
"Games",17
"Illustration",17
"Metal",17
"Monochrome",17
"Photograph",17
"Product",17
"Thoroughfare",17
"Afterglow",18
"Dog breed",18
"Eating",18
"Leg",18
"Marketplace",18
"Motor vehicle",18
"Water transportation",18
"Comfort food",19
"Eyewear",19
"Hairstyle",19
"Landmark",19
"Light",19
"Lighting",19
"Market",19
"Shrine",19
