"BADUNG","Freq"
"Rectangle",5
"Reptile",5
"Screenshot",5
"Songbird",5
"Soup",5
"Square",5
"Street fashion",5
"Street performance",5
"String instrument",5
"Vespa",5
"Villa",5
"Waste",5
"Wing",5
"Yakitori",5
"Acrylic paint",6
"Aquatic plant",6
"Bed sheet",6
"Boating",6
"Carnival",6
"Circle",6
"Cocktail",6
"Coffee",6
"Commercial vehicle",6
"Companion dog",6
"Conversation",6
"Elaeis",6
"Escarpment",6
"Eye",6
"Fête",6
"Flag",6
"Flatbread",6
"Foot",6
"frangipani",6
"Graphic design",6
"Groundcover",6
"History",6
"Inflatable",6
"Insect",6
"Invertebrate",6
"Joint",6
"Kite sports",6
"Lager",6
"Meteorological phenomenon",6
"Musical instrument",6
"Neck",6
"New year's eve",6
"Non-alcoholic beverage",6
"Outdoor table",6
"Paper",6
"Passenger",6
"Perennial plant",6
"Pergola",6
"Public event",6
"Rock concert",6
"Sate kambing",6
"Scooter",6
"Sea cave",6
"Shrub",6
"Snack",6
"Sound",6
"Thatching",6
"Toilet",6
"Wheel",6
"Wide-body aircraft",6
"Wildflower",6
"Artwork",7
"Automotive tire",7
"Bougainvillea",7
"Brick",7
"Classical sculpture",7
"Erosion",7
"Family car",7
"Finger food",7
"Flame",7
"Flowerpot",7
"Gazebo",7
"Herb",7
"Japanese architecture",7
"Lawn",7
"Logo",7
"Luxury vehicle",7
"Machine",7
"Motorcycling",7
"Musician",7
"Photo shoot",7
"Pier",7
"Pole",7
"Relief",7
"Sporting Group",7
"Spring break",7
"Staple food",7
"State park",7
"Street food",7
"Style",7
"Tower",7
"Trail",7
"Trunk",7
"water lily",7
"Wedding",7
"Zoo",7
"Automotive design",8
"Bodyboarding",8
"Cemetery",8
"Concert",8
"Display device",8
"Family",8
"Fish products",8
"Floral design",8
"Floristry",8
"Fruit",8
"Full breakfast",8
"Gadget",8
"Graphics",8
"Lighting accessory",8
"Macro photography",8
"National historic landmark",8
"Nonbuilding structure",8
"Poster",8
"Rhesus macaque",8
"Rice",8
"Satay",8
"Selling",8
"Shelving",8
"Sink",8
"Skewer",8
"Still life",8
"Tire",8
"Agriculture",9
"Aqua",9
"Automotive exterior",9
"Baked goods",9
"Banner",9
"Bazaar",9
"Buffet",9
"Cafeteria",9
"Chest",9
"Costume",9
"Drawing",9
"Fire",9
"Food court",9
"Gesture",9
"Grave",9
"Holiday",9
"Park",9
"Patio",9
"Personal protective equipment",9
"Romance",9
"Sidewalk",9
"Stairs",9
"Street light",9
"Tail",9
"Vegetable",9
"Wind",9
"Apartment",10
"Beak",10
"Beer bottle",10
"Dancer",10
"Farm",10
"Field",10
"Forest",10
"Hairstyle",10
"Honeymoon",10
"Long hair",10
"Mixed-use",10
"Outcrop",10
"Outlet store",10
"Paddy field",10
"Pagoda",10
"Silhouette",10
"Steamed rice",10
"Tableware",10
"Toddler",10
"Traffic",10
"Water sport",10
"Whiskers",10
"Arm",11
"Attalea speciosa",11
"Bank",11
"Chair",11
"Dog breed",11
"Flight",11
"Headstone",11
"Heat",11
"Houseplant",11
